LIFNR	BANKS	BANKL	BANKN	KOINH	BVTYP
0000100370	NL	32189635	337535021905	Halcyon Trading BV	0001
0000100370	MY	30125711	650530489249	Halcyon Trading BV	0002
0000100371	MY	52531907	747828401803	Vertex Trading BV	""
0000100372	CH	53205197	228234710498	Sable Supplies SA	""
0000100373	US	54665919	712588900952	Lumen Electronics Co	""
0000100373	PA	34999096	242854174211	Lumen Electronics Co	""
0000100374	JP	51944436	109187587852	Halcyon Supplies SA	0001
0000100375	NL	26263976	811439061749	Blue Harbour Industries Inc	0001
0000100376	NL	90453523	328306336665	Blue Harbour Components Ltd	""
0000100377	VN	78743165	623210437930	Sable Supplies SA	0001
0000100378	VN	77476603	955654517011	Pacific Technologies Pte	0001
0000100379	TH	14255615	508447326896	Blue Harbour Components Ltd	0001
0000100380	HK	29768305	857439542218	Halcyon Technologies Pte	""
0000100381	NL	26423441	734385132512	Cobalt Materials Corp	0001
0000100382	VN	57980574	488632529616	Meridian Components Ltd	0001
0000100383	DE	17016377	566488024803	Arcadia Trading BV	""
0000100384	GB	80111460	715308605655	Tamarind Materials Corp	0001
0000100385	VN	70749568	379262347167	Silverline Manufacturing Sdn Bhd	""
0000100386	NL	26207238	275529486679	Lumen Materials Corp	""
0000100387	CH	45628391	544292890849	Arcadia Services SARL	0001
0000100388	FR	87296218	871257168254	Arcadia Manufacturing Sdn Bhd	""
0000100389	FR	91556616	238734640603	Granite Services SARL	""
0000100390	JP	96469020	288778740567	Windward Trading BV	""
0000100391	KY	92896516	325150079380	Halcyon Manufacturing Sdn Bhd	""
0000100392	VN	64158143	427776053863	Cobalt Components Ltd	""
0000100393	NL	67487725	549666511695	Vertex Logistics GmbH	""
0000100393	AE	78750957	175607691307	Vertex Logistics GmbH	0002
0000100394	US	64051150	706486220121	Granite Services SARL	""
0000100395	US	29008526	197104828613	Meridian Materials Corp	""
0000100396	GB	42305969	998888305494	Meridian Trading BV	""
0000100397	DE	83816027	349322255586	Windward Technologies Pte	0001
0000100398	VN	56313522	969940444033	Windward Electronics Co	""
0000100399	GB	32951031	379022836534	Northgate Services SARL	0001
0000100400	JP	47309321	915250786284	Vertex Trading BV	""
0000100401	GB	21873817	553485642419	Pacific Supplies SA	""
0000100402	NL	25488447	745761364398	Windward Technologies Pte	""
0000100403	TH	40359907	104605767155	Blue Harbour Components Ltd	""
0000100404	US	37238959	664115910978	Halcyon Industries Inc	""
0000100405	JP	95209352	351796603305	Lumen Technologies Pte	""
0000100406	GB	42643387	633268725310	Kestrel Electronics Co	""
0000100407	US	99519693	334756301781	Pacific Trading BV	""
0000100408	VN	39531898	644986737753	Meridian Electronics Co	""
0000100408	DE	49215466	723544218570	Meridian Electronics Co	""
0000100409	HK	85561606	743856823057	Granite Industries Inc	0001
0000100410	GB	13030670	198861435785	Cobalt Technologies Pte	""
0000100411	KY	10033690	325707432523	Granite Supplies SA	""
0000100412	GB	16917225	172207016413	Blue Harbour Materials Corp	""
0000100413	SG	25127795	260061234286	Kestrel Trading BV	""
0000100413	KR	38556994	206692037732	Kestrel Trading BV	0002
0000100414	NL	78755531	883371070092	Everest Manufacturing Sdn Bhd	0001
0000100415	GB	78643813	292430736303	Granite Manufacturing Sdn Bhd	0001
0000100415	LU	14159850	424176287851	Granite Manufacturing Sdn Bhd	""
0000100416	VN	67923295	979723294374	Northgate Trading BV	""
0000100417	NL	30171373	251679918685	Windward Industries Inc	""
0000100418	SG	74302198	462128280002	Solstice Technologies Pte	""
0000100419	JP	83567485	234685556020	Granite Logistics GmbH	""
