BUKRS	LIFNR	BELNR	GJAHR	BUDAT	WRBTR	WAERS	SHKZG	BLART	BVTYP
4000	0000100266	5100000915	2026	2026-03-13	349100.01	USD	H	KG	""
3000	0000100267	5100000919	2026	2026-04-02	98962.06	JPY	H	RE	""
3000	0000100267	5100000921	2026	2026-04-27	278833.43	EUR	H	RE	""
2000	0000100268	5100000922	2026	2026-05-16	86372.05	EUR	H	RE	""
1000	0000100269	5100000929	2026	2026-03-13	309395.29	JPY	H	RE	""
4000	0000100270	5100000932	2026	2026-02-21	405302.61	JPY	H	KZ	""
4000	0000100270	5100000933	2026	2026-07-30	334934.09	JPY	H	KZ	""
5000	0000100271	5100000937	2026	2026-07-30	39853.67	JPY	H	KG	""
5000	0000100272	5100000939	2026	2026-04-18	374286.61	EUR	H	RE	0002
5000	0000100272	5100000940	2026	2026-08-15	290777.41	EUR	H	RE	0002
5000	0000100272	5100000942	2026	2026-01-02	98343.77	USD	H	KZ	""
1000	0000100273	5100000946	2026	2026-07-21	198880.08	USD	H	KZ	0001
1000	0000100273	5100000948	2026	2026-06-13	161363.16	GBP	H	KR	0001
2000	0000100275	5100000952	2026	2026-05-01	320048.49	USD	H	KZ	""
3000	0000100276	5100000957	2026	2026-07-18	300369.03	EUR	H	KG	""
3000	0000100276	5100000959	2026	2026-07-01	434495.98	GBP	H	KR	""
3000	0000100276	5100000960	2026	2026-03-04	208648.51	USD	H	RE	""
2000	0000100278	5100000971	2026	2026-06-19	34886.06	JPY	H	KR	""
1000	0000100279	5100000972	2026	2026-07-15	277168.29	GBP	H	KR	""
1000	0000100279	5100000974	2026	2026-04-08	134615.39	EUR	H	RE	""
1000	0000100279	5100000975	2026	2026-03-19	311960.27	JPY	H	RE	""
2000	0000100280	5100000976	2026	2026-07-30	7352.3	USD	H	KG	""
4000	0000100281	5100000979	2026	2026-03-15	198606.89	JPY	H	KG	""
3000	0000100282	5100000980	2026	2026-01-05	163577.42	EUR	H	KR	""
3000	0000100282	5100000981	2026	2026-08-02	346987.66	GBP	H	KZ	""
5000	0000100283	5100000983	2026	2026-04-30	268059.53	GBP	H	RE	""
5000	0000100283	5100000984	2026	2026-03-12	298915.53	USD	H	KZ	""
5000	0000100283	5100000985	2026	2026-03-18	68227.64	GBP	H	RE	""
5000	0000100283	5100000986	2026	2026-01-21	160269.43	USD	H	KZ	""
4000	0000100284	5100000988	2026	2026-04-29	142589.8	EUR	H	KR	""
4000	0000100284	5100000992	2026	2026-05-14	298885.72	JPY	H	KR	""
4000	0000100284	5100000993	2026	2026-02-12	473807.34	GBP	H	KG	""
1000	0000100286	5100000998	2026	2026-03-10	170902.13	JPY	H	KG	0001
1000	0000100286	5100001000	2026	2026-06-13	225584.9	USD	H	KZ	0001
1000	0000100286	5100001001	2026	2026-05-22	346062.62	JPY	H	KZ	0001
5000	0000100288	5100001007	2026	2026-08-15	442824.45	JPY	H	KG	""
2000	0000100289	5100001010	2026	2026-02-18	382091.8	EUR	H	KZ	""
2000	0000100289	5100001012	2026	2026-07-09	350046.54	EUR	H	KZ	""
2000	0000100289	5100001013	2026	2026-05-15	199120.23	EUR	H	KZ	""
2000	0000100291	5100001017	2026	2026-03-26	38437.63	USD	H	RE	0001
2000	0000100291	5100001021	2026	2026-04-11	221838.14	JPY	H	RE	0001
2000	0000100291	5100001022	2026	2026-07-06	259089.42	JPY	H	KZ	0001
2000	0000100292	5100001025	2026	2026-07-05	274223.31	EUR	H	KG	0001
2000	0000100292	5100001026	2026	2026-04-12	312530.86	EUR	H	KG	0001
3000	0000100293	5100001027	2026	2026-06-20	152884.63	GBP	H	KZ	0001
3000	0000100293	5100001028	2026	2026-07-26	16765.43	USD	H	KR	0001
4000	0000100294	5100001032	2026	2026-01-30	363843.84	USD	H	RE	""
4000	0000100294	5100001033	2026	2026-06-15	78086.29	GBP	H	KZ	""
4000	0000100294	5100001034	2026	2026-07-17	343686.88	USD	H	KR	""
4000	0000100297	5100001042	2026	2026-02-15	349867.63	GBP	H	RE	0001
4000	0000100297	5100001043	2026	2026-04-30	101211.07	EUR	H	KZ	""
4000	0000100297	5100001044	2026	2026-05-31	98896.99	USD	H	KZ	""
3000	0000100298	5100001046	2026	2026-03-12	260386.86	JPY	H	KR	0001
4000	0000100299	5100001048	2026	2026-04-08	447062.86	EUR	H	KZ	""
4000	0000100299	5100001050	2026	2026-07-14	243400.03	EUR	H	RE	""
4000	0000100301	5100001060	2026	2026-04-13	42186.19	JPY	H	KG	""
2000	0000100302	5100001063	2026	2026-02-09	201297.97	USD	H	KZ	0001
1000	0000100303	5100001068	2026	2026-02-24	339498.86	USD	H	KZ	0001
1000	0000100303	5100001069	2026	2026-05-25	385674.8	JPY	H	KR	0001
1000	0000100303	5100001070	2026	2026-07-20	316401.7	EUR	H	KR	0001
1000	0000100303	5100001071	2026	2026-03-09	443040.42	USD	H	KZ	0001
1000	0000100303	5100001072	2026	2026-06-20	169236.15	EUR	H	KR	0001
5000	0000100305	5100001077	2026	2026-03-08	109551.83	JPY	H	RE	""
5000	0000100305	5100001078	2026	2026-02-01	158559.18	JPY	H	KZ	""
2000	0000100306	5100001080	2026	2026-02-14	474832.83	USD	H	KZ	""
3000	0000100308	5100001084	2026	2026-08-14	94243.68	USD	H	RE	""
3000	0000100308	5100001086	2026	2026-01-03	267536.88	JPY	H	KG	""
5000	0000100309	5100001088	2026	2026-04-15	132509.2	GBP	H	RE	""
5000	0000100309	5100001089	2026	2026-08-14	262601.42	USD	H	RE	""
4000	0000100310	5100001092	2026	2026-01-28	194601.76	EUR	H	KG	""
4000	0000100310	5100001093	2026	2026-02-25	230733.39	USD	H	KZ	""
5000	0000100312	5100001100	2026	2026-02-28	456690.16	JPY	H	KG	0001
5000	0000100312	5100001102	2026	2026-04-29	353499.29	USD	H	RE	0001
4000	0000100314	5100001110	2026	2026-04-21	325748.8	EUR	H	KR	0001
4000	0000100314	5100001111	2026	2026-01-01	167192.95	GBP	H	KZ	0001
4000	0000100314	5100001113	2026	2026-01-20	31627.91	EUR	H	KG	0001
3000	0000100315	5100001116	2026	2026-06-08	362252.01	GBP	H	KR	""
3000	0000100316	5100001121	2026	2026-06-11	316928.52	USD	H	RE	0001
1000	0000100317	5100001124	2026	2026-01-29	275258.68	GBP	H	KG	""
5000	0000100320	5100001128	2026	2026-01-05	428401.85	JPY	H	RE	""
4000	0000100321	5100001133	2026	2026-01-16	326810.14	USD	H	KR	""
4000	0000100321	5100001134	2026	2026-03-11	318087.25	EUR	H	RE	""
4000	0000100321	5100001135	2026	2026-01-13	220942.05	GBP	H	RE	""
4000	0000100321	5100001137	2026	2026-07-11	254621.35	USD	H	RE	""
3000	0000100322	5100001139	2026	2026-04-30	188447.82	JPY	H	KG	""
3000	0000100322	5100001140	2026	2026-08-18	291397.74	EUR	H	KG	""
4000	0000100324	5100001145	2026	2026-04-27	454412.26	GBP	H	RE	""
4000	0000100324	5100001146	2026	2026-04-24	271475.48	EUR	H	KG	""
2000	0000100326	5100001149	2026	2026-07-20	306704.7	USD	H	KG	""
2000	0000100326	5100001151	2026	2026-03-01	153521.88	JPY	H	KG	""
1000	0000100328	5100001159	2026	2026-03-17	264924.81	USD	H	KR	""
1000	0000100328	5100001160	2026	2026-05-13	444075.81	JPY	H	KZ	""
1000	0000100328	5100001161	2026	2026-01-28	120120.0	GBP	H	KR	""
4000	0000100329	5100001163	2026	2026-01-24	189444.84	EUR	H	KZ	""
4000	0000100329	5100001164	2026	2026-06-11	23117.14	USD	H	KG	""
4000	0000100329	5100001166	2026	2026-06-26	444550.5	GBP	H	RE	""
1000	0000100330	5100001169	2026	2026-05-17	57210.16	GBP	H	KG	""
1000	0000100330	5100001170	2026	2026-07-27	171247.17	JPY	H	KR	""
1000	0000100330	5100001171	2026	2026-02-03	21448.87	USD	H	KG	""
1000	0000100330	5100001173	2026	2026-06-10	187253.13	JPY	H	KZ	""
1000	0000100331	5100001176	2026	2026-07-20	335744.36	EUR	H	RE	""
4000	0000100332	5100001179	2026	2026-03-22	47472.17	JPY	H	RE	""
4000	0000100333	5100001183	2026	2026-05-20	239149.16	EUR	H	RE	""
2000	0000100334	5100001187	2026	2026-05-07	454768.34	USD	H	KZ	0002
2000	0000100335	5100001192	2026	2026-01-09	52154.62	USD	H	KR	""
2000	0000100335	5100001193	2026	2026-02-01	177529.3	EUR	H	KZ	""
1000	0000100337	5100001198	2026	2026-05-24	310482.17	JPY	H	RE	""
2000	0000100338	5100001201	2026	2026-03-08	100477.78	JPY	H	RE	""
2000	0000100339	5100001207	2026	2026-07-26	43965.35	GBP	H	RE	""
3000	0000100340	5100001209	2026	2026-05-30	210142.89	JPY	H	KZ	""
1000	0000100341	5100001211	2026	2026-07-08	36765.24	USD	H	KG	""
1000	0000100341	5100001213	2026	2026-06-03	243230.0	USD	H	RE	""
5000	0000100342	5100001214	2026	2026-01-24	160490.3	JPY	H	KG	""
1000	0000100344	5100001223	2026	2026-07-22	205137.07	EUR	H	KG	""
3000	0000100346	5100001227	2026	2026-07-14	124859.34	USD	H	KZ	0001
3000	0000100346	5100001228	2026	2026-05-11	476265.12	EUR	H	KZ	0001
5000	0000100347	5100001230	2026	2026-07-11	95999.26	USD	H	KR	""
2000	0000100348	5100001233	2026	2026-04-23	171533.88	GBP	H	KG	""
1000	0000100349	5100001235	2026	2026-05-11	86819.6	EUR	H	KG	""
1000	0000100350	5100001236	2026	2026-03-12	91556.18	USD	H	RE	""
1000	0000100350	5100001237	2026	2026-02-24	327513.39	EUR	H	RE	""
5000	0000100351	5100001242	2026	2026-03-16	281467.49	JPY	H	RE	0001
3000	0000100352	5100001245	2026	2026-07-07	460088.43	JPY	H	KZ	""
3000	0000100352	5100001246	2026	2026-07-09	11847.38	USD	H	KR	""
3000	0000100352	5100001247	2026	2026-06-27	240783.49	USD	H	RE	""
3000	0000100353	5100001251	2026	2026-04-29	275123.1	USD	H	KR	""
2000	0000100356	5100001255	2026	2026-04-18	28804.95	EUR	H	KZ	""
2000	0000100356	5100001258	2026	2026-04-28	46906.68	EUR	H	RE	""
2000	0000100356	5100001259	2026	2026-05-24	343798.44	USD	H	KR	""
3000	0000100357	5100001262	2026	2026-06-06	196245.32	USD	H	RE	""
3000	0000100357	5100001264	2026	2026-06-11	251049.51	JPY	H	KG	""
2000	0000100358	5100001266	2026	2026-06-15	441421.06	USD	H	RE	""
3000	0000100359	5100001268	2026	2026-01-15	31070.91	USD	H	RE	""
3000	0000100359	5100001269	2026	2026-07-01	15719.33	EUR	H	KZ	""
1000	0000100360	5100001273	2026	2026-03-27	310527.39	GBP	H	KZ	""
1000	0000100360	5100001274	2026	2026-01-04	212198.6	JPY	H	KR	""
1000	0000100360	5100001275	2026	2026-08-07	446250.79	USD	H	KG	""
1000	0000100360	5100001276	2026	2026-06-19	195145.61	JPY	H	KG	""
2000	0000100362	5100001281	2026	2026-06-29	236123.4	USD	H	KG	0001
4000	0000100365	5100001286	2026	2026-03-14	311041.06	GBP	H	RE	""
2000	0000100368	5100001290	2026	2026-06-05	441540.66	USD	H	KR	""
4000	0000100369	5100001294	2026	2026-04-09	435241.68	JPY	H	KG	0001
2000	0000100372	5100001301	2026	2026-03-15	217481.77	EUR	H	KZ	""
2000	0000100372	5100001304	2026	2026-07-18	69358.92	JPY	H	KR	""
2000	0000100372	5100001305	2026	2026-05-18	574.55	EUR	H	KG	""
3000	0000100373	5100001308	2026	2026-01-07	2809.22	JPY	H	KG	""
2000	0000100376	5100001316	2026	2026-07-16	29896.54	USD	H	KZ	""
2000	0000100376	5100001317	2026	2026-08-08	387015.21	USD	H	KR	""
5000	0000100377	5100001321	2026	2026-08-02	205375.34	EUR	H	RE	0001
5000	0000100377	5100001323	2026	2026-02-25	479997.06	EUR	H	KR	0001
5000	0000100378	5100001326	2026	2026-05-15	100361.65	GBP	H	RE	0001
3000	0000100379	5100001327	2026	2026-08-15	226459.05	JPY	H	KG	0001
3000	0000100379	5100001328	2026	2026-03-03	400684.79	GBP	H	KG	0001
4000	0000100380	5100001331	2026	2026-07-24	197554.66	GBP	H	KG	""
2000	0000100381	5100001336	2026	2026-04-08	272151.15	GBP	H	KG	0001
5000	0000100382	5100001341	2026	2026-08-05	317873.12	USD	H	RE	0001
4000	0000100384	5100001348	2026	2026-02-11	163725.31	USD	H	KZ	0001
5000	0000100385	5100001350	2026	2026-03-18	362117.66	USD	H	KR	""
3000	0000100387	5100001356	2026	2026-03-17	198948.47	USD	H	KZ	0001
3000	0000100387	5100001357	2026	2026-06-16	116047.91	GBP	H	RE	0001
2000	0000100388	5100001359	2026	2026-05-13	188771.21	USD	H	KZ	""
2000	0000100388	5100001362	2026	2026-02-05	470069.23	EUR	H	KG	""
2000	0000100388	5100001363	2026	2026-04-04	8395.54	GBP	H	KZ	""
5000	0000100389	5100001366	2026	2026-04-05	322496.1	GBP	H	KG	""
1000	0000100390	5100001371	2026	2026-03-21	288991.65	EUR	H	KG	""
5000	0000100391	5100001373	2026	2026-05-29	142365.17	USD	H	KG	""
5000	0000100391	5100001375	2026	2026-08-03	310976.76	EUR	H	RE	""
5000	0000100392	5100001378	2026	2026-06-09	200022.13	EUR	H	RE	""
5000	0000100392	5100001380	2026	2026-03-16	316663.09	JPY	H	KR	""
3000	0000100394	5100001383	2026	2026-01-19	379142.25	GBP	H	KG	""
3000	0000100394	5100001384	2026	2026-08-13	443128.01	GBP	H	RE	""
1000	0000100396	5100001388	2026	2026-03-23	137257.6	JPY	H	KR	""
1000	0000100396	5100001389	2026	2026-04-10	280083.77	GBP	H	KR	""
2000	0000100397	5100001395	2026	2026-04-02	281822.28	JPY	H	RE	0001
2000	0000100397	5100001396	2026	2026-03-14	186801.84	USD	H	KG	0001
5000	0000100398	5100001398	2026	2026-02-22	331432.26	JPY	H	KZ	""
5000	0000100398	5100001400	2026	2026-08-19	120843.46	EUR	H	KZ	""
4000	0000100399	5100001404	2026	2026-01-25	244388.67	GBP	H	RE	0001
4000	0000100399	5100001405	2026	2026-08-07	75511.44	EUR	H	KZ	0001
4000	0000100399	5100001406	2026	2026-04-06	286738.38	GBP	H	KZ	0001
4000	0000100399	5100001407	2026	2026-05-04	331127.75	JPY	H	KG	0001
4000	0000100401	5100001412	2026	2026-07-24	215524.89	GBP	H	RE	""
4000	0000100401	5100001413	2026	2026-08-09	358024.77	USD	H	KR	""
2000	0000100402	5100001419	2026	2026-06-07	316256.17	EUR	H	KR	""
1000	0000100403	5100001420	2026	2026-05-25	403706.33	USD	H	KZ	""
2000	0000100404	5100001421	2026	2026-06-16	392013.34	USD	H	RE	""
2000	0000100404	5100001422	2026	2026-02-04	391468.24	USD	H	KZ	""
2000	0000100404	5100001423	2026	2026-03-09	471244.12	JPY	H	KZ	""
2000	0000100404	5100001424	2026	2026-01-28	128010.77	EUR	H	KR	""
4000	0000100405	5100001428	2026	2026-01-13	288929.09	JPY	H	KZ	""
4000	0000100405	5100001431	2026	2026-05-01	149921.2	USD	H	KZ	""
4000	0000100405	5100001432	2026	2026-02-19	366833.01	USD	H	KR	""
4000	0000100406	5100001435	2026	2026-03-18	13254.83	USD	H	KZ	""
3000	0000100407	5100001438	2026	2026-03-07	135676.61	USD	H	RE	""
3000	0000100407	5100001441	2026	2026-01-04	329785.2	JPY	H	RE	""
5000	0000100408	5100001442	2026	2026-08-11	184232.8	GBP	H	RE	""
5000	0000100408	5100001443	2026	2026-01-03	255684.62	GBP	H	RE	""
5000	0000100409	5100001445	2026	2026-07-10	334451.97	JPY	H	KR	0001
2000	0000100410	5100001446	2026	2026-01-24	235093.44	GBP	H	KZ	""
2000	0000100410	5100001447	2026	2026-04-04	338248.64	EUR	H	KZ	""
4000	0000100411	5100001451	2026	2026-04-17	450701.91	GBP	H	KG	""
4000	0000100411	5100001452	2026	2026-07-02	329148.83	JPY	H	RE	""
3000	0000100414	5100001462	2026	2026-03-12	466395.26	GBP	H	KR	0001
3000	0000100414	5100001463	2026	2026-05-09	83377.07	USD	H	KR	0001
2000	0000100417	5100001468	2026	2026-04-12	459413.93	JPY	H	RE	""
2000	0000100417	5100001469	2026	2026-07-17	127679.8	GBP	H	KZ	""
2000	0000100417	5100001471	2026	2026-05-28	218087.07	USD	H	KR	""
2000	0000100418	5100001474	2026	2026-07-17	366267.11	GBP	H	KZ	""
1000	0000100419	5100001480	2026	2026-02-17	477175.16	USD	H	KG	""
1000	0000100419	5100001481	2026	2026-08-16	303053.44	GBP	H	RE	""
